genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Pycnocarpon	epiphyte	litter_saprotroph	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Neobueliella	lichen_parasite						non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Neocochlearomyces	plant_pathogen			leaf/fruit/seed_pathogen					Chromolaena	filamentous_mycelium						
Anthodidymella	wood_saprotroph				"wood,leaf/fruit/seed"		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Aquimassariosphaeria	wood_saprotroph				wood		freshwater			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Neolindgomyces	litter_saprotroph				leaf/fruit/seed					filamentous_mycelium						
Crassiperidium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Aquihelicascus	wood_saprotroph				wood		freshwater			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Paratrimmatostroma	litter_saprotroph				leaf/fruit/seed					filamentous_mycelium						
Arezzomyces	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Dlhawksworthia	wood_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Hydeomyces	wood_saprotroph				wood					filamentous_mycelium						
Piniphoma	wood_saprotroph				wood					filamentous_mycelium						
Pleohelicoon	litter_saprotroph				leaf/fruit/seed		non-aquatic		Fagus	filamentous_mycelium						
Typhicola	litter_saprotroph				leaf/fruit/seed				Typha	filamentous_mycelium						
Rubroshiraia	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		bamboo	filamentous_mycelium						
Anthosulcatispora	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
