rank	higher_rank	dataset	cut-off
kingdom	global	All	0.6
phylum	global	All	75
class	global	All	75
order	global	All	75
family	global	All	75
genus	global	All	0.95
species	global	All	0.98
genus	lineage	/boletus	0.8
genus	lineage	/tuber-helvella	0.8
genus	lineage	/cenococcum	0.95
genus	lineage	/elaphomyces	0.78
genus	lineage	/phaeohelotium	0.95
genus	lineage	/leotia	0.8
genus	lineage	/leucangium	0.78
genus	lineage	/hydnotrya	0.87
genus	lineage	/pachyphloeus-amylascus	0.8
genus	lineage	/terfezia-peziza_depressa	0.8
genus	lineage	/marcelleina-peziza_gerardii	0.8
genus	lineage	/galactinia	0.84
genus	lineage	/sarcosphaera-hydnotryopsis	0.8
genus	lineage	/pulvinula	0.86
genus	lineage	/aleurina	0.83
genus	lineage	/genea-humaria	0.75
genus	lineage	/geopora	0.88
genus	lineage	/otidea	0.82
genus	lineage	/pustularia	0.9
genus	lineage	/rhodoscypha	0.85
genus	lineage	/sphaerosporella	0.85
genus	lineage	/sphaerosporella-or-wilcoxina	0.865
genus	lineage	/wilcoxina	0.88
genus	lineage	/tarzetta	0.85
genus	lineage	/cortinarius	0.86
genus	lineage	/amanita	0.77
genus	lineage	/catathelasma	0.95
genus	lineage	/descolea	0.88
genus	lineage	/guyanagarica	0.85
genus	lineage	/laccaria	0.9
genus	lineage	/hygrophorus	0.82
genus	lineage	/hebeloma-alnicola	0.83
genus	lineage	/phaeocollybia	0.82
genus	lineage	/inocybe	0.78
genus	lineage	/paralyophyllum	0.91
genus	lineage	/porpoloma	0.89
genus	lineage	/tricholoma	0.83
genus	lineage	/cantharellus	0.88
genus	lineage	/amphinema-tylospora	0.88
genus	lineage	/byssocorticium	0.87
genus	lineage	/piloderma	0.84
genus	lineage	/suillus-rhizopogon	0.8
genus	lineage	/ramaria-gautieria	0.75
genus	lineage	/pisolithus-scleroderma	0.78
genus	lineage	/paxillus-gyrodon	0.8
genus	lineage	/austropaxillus	0.87
genus	lineage	/clavulina	0.88
genus	lineage	/coltricia	0.75
genus	lineage	/hysterangium	0.75
genus	lineage	/albatrellus	0.85
genus	lineage	/russula-lactarius	0.8
genus	lineage	/sebacina	0.84
genus	lineage	/phellodon-bankera	0.83
genus	lineage	/boletopsis	0.9
genus	lineage	/hydnellum-sarcodon	0.84
genus	lineage	/pseudotomentella	0.82
genus	lineage	/tomentella-thelephora	0.85
genus	lineage	/tomentellopsis	0.87
genus	lineage	/tremellodendropsis	0.89
genus	lineage	/densospora	0.85
genus	lineage	/endogone1	0.85
genus	lineage	/endogone2	0.85
species	lineage	/boletus	0.985
species	lineage	/tuber-helvella	0.97
species	lineage	/elaphomyces	0.99
species	lineage	/phaeohelotium	0.95
species	lineage	/leucangium	0.95
species	lineage	/hydnotrya	0.95
species	lineage	/pachyphloeus-amylascus	0.975
species	lineage	/terfezia-peziza_depressa	0.96
species	lineage	/marcelleina-peziza_gerardii	0.95
species	lineage	/sarcosphaera-hydnotryopsis	0.95
species	lineage	/pulvinula	0.99
species	lineage	/genea-humaria	0.95
species	lineage	/geopora	0.95
species	lineage	/otidea	0.99
species	lineage	/sphaerosporella-or-wilcoxina	0.95
species	lineage	/wilcoxina	0.95
species	lineage	/tarzetta	0.975
species	lineage	/cortinarius	0.99
species	lineage	/amanita	0.985
species	lineage	/catathelasma	0.96
species	lineage	/descolea	0.955
species	lineage	/guyanagarica	0.95
species	lineage	/laccaria	0.99
species	lineage	/hygrophorus	0.97
species	lineage	/hebeloma-alnicola	0.99
species	lineage	/phaeocollybia	0.965
species	lineage	/inocybe	0.985
species	lineage	/paralyophyllum	0.98
species	lineage	/porpoloma	0.97
species	lineage	/tricholoma	0.985
species	lineage	/cantharellus	0.99
species	lineage	/amphinema-tylospora	0.95
species	lineage	/byssocorticium	0.95
species	lineage	/piloderma	0.955
species	lineage	/suillus-rhizopogon	0.99
species	lineage	/ramaria-gautieria	0.99
species	lineage	/pisolithus-scleroderma	0.965
species	lineage	/paxillus-gyrodon	0.975
species	lineage	/austropaxillus	0.98
species	lineage	/clavulina	0.965
species	lineage	/coltricia	0.975
species	lineage	/hysterangium	0.975
species	lineage	/russula-lactarius	0.99
species	lineage	/sebacina	0.95
species	lineage	/phellodon-bankera	0.975
species	lineage	/boletopsis	0.985
species	lineage	/hydnellum-sarcodon	0.97
species	lineage	/pseudotomentella	0.98
species	lineage	/tomentella-thelephora	0.965
species	lineage	/tomentellopsis	0.955
species	lineage	/endogone1	0.955
species	lineage	/endogone2	0.955
